-----------------------------------------------------
genSize: 1000   dNASize: 400   percentPicked: 5
-----------------STARTING NEW RUN--------------------
Generation #1 MaxFit: 209.4 AvgFit: 121.1
Generation #2 MaxFit: 224.1 AvgFit: 127.7
Generation #3 MaxFit: 236.2 AvgFit: 133.3
Generation #4 MaxFit: 248.5 AvgFit: 139.9
Generation #5 MaxFit: 238.5 AvgFit: 146.3
Generation #6 MaxFit: 241.6 AvgFit: 150.3
Generation #7 MaxFit: 249.3 AvgFit: 156.1
Generation #8 MaxFit: 256.5 AvgFit: 160.3
Generation #9 MaxFit: 259.3 AvgFit: 164.3
Generation #10 MaxFit: 282.3 AvgFit: 171.7
Generation #11 MaxFit: 273.8 AvgFit: 175.6
Generation #12 MaxFit: 273.4 AvgFit: 181.4
Generation #13 MaxFit: 283.0 AvgFit: 182.6
Generation #14 MaxFit: 275.4 AvgFit: 184.5
Generation #15 MaxFit: 297.6 AvgFit: 189.5
Generation #16 MaxFit: 290.8 AvgFit: 192.2
Generation #17 MaxFit: 287.0 AvgFit: 194.9
Generation #18 MaxFit: 290.1 AvgFit: 196.4
Generation #19 MaxFit: 290.3 AvgFit: 201.2
Generation #20 MaxFit: 289.1 AvgFit: 203.9
Generation #21 MaxFit: 293.3 AvgFit: 206.1
Generation #22 MaxFit: 297.9 AvgFit: 211.4
Generation #23 MaxFit: 304.0 AvgFit: 213.6
Generation #24 MaxFit: 310.4 AvgFit: 215.7
Generation #25 MaxFit: 322.3 AvgFit: 219.2
Generation #26 MaxFit: 329.0 AvgFit: 223.6
Generation #27 MaxFit: 322.0 AvgFit: 225.8
Generation #28 MaxFit: 320.8 AvgFit: 232.2
Generation #29 MaxFit: 325.7 AvgFit: 230.6
Generation #30 MaxFit: 327.8 AvgFit: 233.2
Generation #31 MaxFit: 331.9 AvgFit: 234.7
Generation #32 MaxFit: 335.5 AvgFit: 242.3
Generation #33 MaxFit: 329.3 AvgFit: 240.9
Generation #34 MaxFit: 346.3 AvgFit: 241.9
Generation #35 MaxFit: 347.9 AvgFit: 245.1
Generation #36 MaxFit: 356.3 AvgFit: 250.1
Generation #37 MaxFit: 357.7 AvgFit: 251.1
Generation #38 MaxFit: 356.0 AvgFit: 253.5
Generation #39 MaxFit: 347.5 AvgFit: 252.7
Generation #40 MaxFit: 352.9 AvgFit: 258.2
Generation #41 MaxFit: 356.5 AvgFit: 257.5
Generation #42 MaxFit: 371.4 AvgFit: 261.5
Generation #43 MaxFit: 357.4 AvgFit: 261.8
Generation #44 MaxFit: 374.3 AvgFit: 268.3
Generation #45 MaxFit: 351.4 AvgFit: 264.8
Generation #46 MaxFit: 361.7 AvgFit: 267.5
Generation #47 MaxFit: 355.0 AvgFit: 265.2
Generation #48 MaxFit: 364.1 AvgFit: 267.8
Generation #49 MaxFit: 369.5 AvgFit: 273.1
Generation #50 MaxFit: 393.8 AvgFit: 274.7
Generation #51 MaxFit: 393.8 AvgFit: 273.6
Generation #52 MaxFit: 384.5 AvgFit: 280.5
Generation #53 MaxFit: 375.6 AvgFit: 279.5
Generation #54 MaxFit: 382.0 AvgFit: 284.9
Generation #55 MaxFit: 390.0 AvgFit: 283.4
Generation #56 MaxFit: 392.3 AvgFit: 287.2
Generation #57 MaxFit: 386.1 AvgFit: 289.8
Generation #58 MaxFit: 389.0 AvgFit: 289.0
Generation #59 MaxFit: 398.4 AvgFit: 289.0
Generation #60 MaxFit: 407.7 AvgFit: 292.4
Generation #61 MaxFit: 406.6 AvgFit: 294.6
Generation #62 MaxFit: 394.9 AvgFit: 295.0
Generation #63 MaxFit: 406.1 AvgFit: 298.0
Generation #64 MaxFit: 396.9 AvgFit: 300.6
Generation #65 MaxFit: 399.4 AvgFit: 301.5
Generation #66 MaxFit: 398.5 AvgFit: 302.3
Generation #67 MaxFit: 394.9 AvgFit: 305.2
Generation #68 MaxFit: 393.3 AvgFit: 305.2
Generation #69 MaxFit: 407.6 AvgFit: 310.2
Generation #70 MaxFit: 411.8 AvgFit: 307.8
Generation #71 MaxFit: 409.9 AvgFit: 309.7
Generation #72 MaxFit: 416.8 AvgFit: 311.4
Generation #73 MaxFit: 400.3 AvgFit: 314.4
Generation #74 MaxFit: 416.2 AvgFit: 317.9
Generation #75 MaxFit: 414.9 AvgFit: 317.7
Generation #76 MaxFit: 416.5 AvgFit: 320.2
Generation #77 MaxFit: 427.2 AvgFit: 325.3
Generation #78 MaxFit: 429.3 AvgFit: 324.7
Generation #79 MaxFit: 444.1 AvgFit: 323.9
Generation #80 MaxFit: 429.4 AvgFit: 327.3
Generation #81 MaxFit: 421.6 AvgFit: 329.9
Generation #82 MaxFit: 424.0 AvgFit: 331.3
Generation #83 MaxFit: 448.0 AvgFit: 328.3
Generation #84 MaxFit: 455.3 AvgFit: 331.5
Generation #85 MaxFit: 443.3 AvgFit: 332.7
Generation #86 MaxFit: 429.6 AvgFit: 338.0
Generation #87 MaxFit: 440.6 AvgFit: 331.0
Generation #88 MaxFit: 446.4 AvgFit: 336.7
Generation #89 MaxFit: 435.1 AvgFit: 343.1
Generation #90 MaxFit: 468.5 AvgFit: 342.2
Generation #91 MaxFit: 437.5 AvgFit: 341.5
Generation #92 MaxFit: 435.5 AvgFit: 343.4
Generation #93 MaxFit: 438.9 AvgFit: 344.5
Generation #94 MaxFit: 442.3 AvgFit: 343.0
Generation #95 MaxFit: 438.9 AvgFit: 349.5
Generation #96 MaxFit: 444.3 AvgFit: 347.6
Generation #97 MaxFit: 445.9 AvgFit: 349.9
Generation #98 MaxFit: 448.9 AvgFit: 351.9
Generation #99 MaxFit: 448.0 AvgFit: 356.9
Generation #100 MaxFit: 448.0 AvgFit: 356.3
Generation #101 MaxFit: 452.2 AvgFit: 355.4
Generation #102 MaxFit: 445.6 AvgFit: 354.6
Generation #103 MaxFit: 445.6 AvgFit: 359.8
Generation #104 MaxFit: 449.0 AvgFit: 357.7
Generation #105 MaxFit: 464.2 AvgFit: 357.0
Generation #106 MaxFit: 466.0 AvgFit: 364.3
Generation #107 MaxFit: 461.8 AvgFit: 363.9
Generation #108 MaxFit: 457.8 AvgFit: 369.3
Generation #109 MaxFit: 474.6 AvgFit: 366.8
Generation #110 MaxFit: 462.2 AvgFit: 368.5
Generation #111 MaxFit: 456.8 AvgFit: 367.6
Generation #112 MaxFit: 475.9 AvgFit: 370.5
Generation #113 MaxFit: 470.1 AvgFit: 369.7
Generation #114 MaxFit: 468.8 AvgFit: 368.6
Generation #115 MaxFit: 478.5 AvgFit: 369.9
Generation #116 MaxFit: 469.3 AvgFit: 374.2
Generation #117 MaxFit: 467.6 AvgFit: 375.8
Generation #118 MaxFit: 460.0 AvgFit: 376.2
Generation #119 MaxFit: 464.3 AvgFit: 373.6
Generation #120 MaxFit: 466.0 AvgFit: 378.5
Generation #121 MaxFit: 463.4 AvgFit: 377.2
Generation #122 MaxFit: 463.8 AvgFit: 382.1
Generation #123 MaxFit: 467.2 AvgFit: 381.9
Generation #124 MaxFit: 484.2 AvgFit: 383.5
Generation #125 MaxFit: 474.8 AvgFit: 381.1
Generation #126 MaxFit: 476.0 AvgFit: 383.2
Generation #127 MaxFit: 469.3 AvgFit: 385.3
Generation #128 MaxFit: 471.0 AvgFit: 385.9
Generation #129 MaxFit: 469.4 AvgFit: 387.1
Generation #130 MaxFit: 466.6 AvgFit: 383.0
Generation #131 MaxFit: 477.9 AvgFit: 388.8
Generation #132 MaxFit: 469.0 AvgFit: 387.7
Generation #133 MaxFit: 469.8 AvgFit: 387.7
Generation #134 MaxFit: 472.9 AvgFit: 387.3
Generation #135 MaxFit: 473.7 AvgFit: 385.0
Best List Produced: (fScore = 484.2)
1001000010000100100000001000000000001100000001000000000100010001010000010000001000001000001000000010001000000000110100100100000001001010000000000000000000000000000011000010000000000011100100001000000101000000000100010000000101100000000010000010000000000000000000011000010010001000001000000001000100000001000010000001000001000000000001000010100000000011010000000000001000000010000000010110000100010000
